11,,,
2,,,
280,-15.5,480,0
370,10,0,1
3,,,
0,-100,0,0
355,10,0,1
355,10,0,1
6,,,
60,-150,-250,1
-73,-150,0,1
-10,-150,0,1
115,-150,58,1
-100,-150,135,1
56,-150,135,1
8,,,
-33,-150,-331,1
71,-150,-256,1
197,-150,-160,1
11,-150,-34,1
-176,-150,3,1
116,-150,60,1
-107,-150,138,1
54,-150,352,1
4,,,
98,50,-440,1
-98,50,-440,1
-2,10,440,1
-1,-130,3,0
8,,,
0,10,-335,1
60,-150,-253,1
-71,-150,-163,1
-10,-150,-1,1
115,-150,58,1
-102,-150,134,1
53,-150,239,1
0,10,335,1
3,,,
0,10,-335,1
0,-150,0,0
0,10,335,1
3,,,
357,10,0,1
-357,10,0,1
294,-15.5,492,0
0,,,
1,,,
0,-315,0,0
